0.001	8.613	0.141	1.951	2.228	1.899	53.920
0.000	10.891	0.148	3.108	1.039	1.919	66.760
0.000	12.367	0.180	2.129	2.790	1.254	81.493
0.000	1.426	0.148	3.330	1.625	1.988	33.369
0.000	3.523	0.227	2.930	1.176	0.027	40.666
0.000	12.645	0.148	2.108	1.159	1.937	66.223
0.109	3.723	0.117	4.787	1.083	2.000	54.438
0.000	9.027	0.156	3.408	1.324	1.289	49.282
0.187	5.199	0.141	3.939	2.410	1.859	52.257
0.043	13.062	0.172	3.458	1.621	1.306	65.708
0.000	2.000	0.172	1.580	1.189	1.993	46.522
0.022	11.688	0.156	2.407	1.000	1.800	67.313
0.000	12.367	0.141	2.904	1.467	1.528	80.553
0.004	15.320	0.102	2.437	1.099	0.020	99.847
0.000	13.277	0.172	3.615	1.321	1.736	66.305
0.004	9.340	0.094	1.648	1.321	1.440	55.891
0.061	7.539	0.125	2.035	1.005	1.802	56.994
0.000	15.547	0.156	3.324	1.019	1.950	71.020
0.000	4.918	0.227	3.295	5.043	1.996	39.007
0.012	3.223	0.148	2.467	1.098	1.530	38.309
0.002	8.520	0.180	2.354	1.687	1.927	53.628
0.010	7.105	0.141	1.499	1.067	0.993	46.384
0.000	1.270	0.141	3.836	1.591	1.962	34.400
0.000	1.301	0.148	2.230	1.305	1.750	31.655
0.000	6.910	0.164	2.409	1.340	0.218	64.118
0.000	10.738	0.156	5.631	1.271	1.820	68.094
0.004	15.535	0.125	3.164	1.233	1.285	87.532
0.000	3.469	0.242	4.669	4.127	1.615	34.170
0.058	12.816	0.102	2.003	1.831	1.949	79.460
0.039	11.656	0.172	1.178	1.515	1.691	68.126
0.001	12.719	0.156	3.071	1.029	1.960	88.836
0.003	9.684	0.188	2.898	1.863	0.740	57.195
0.032	4.504	0.164	2.272	1.020	1.900	53.607
0.009	14.598	0.180	3.677	1.936	1.804	76.029
0.000	10.719	0.195	3.597	1.064	1.919	63.810
0.001	8.059	0.164	1.626	1.218	0.422	53.961
0.000	0.285	0.156	1.971	1.428	1.842	38.990
0.099	8.531	0.180	1.347	1.329	1.895	57.813
0.000	12.965	0.164	2.401	2.481	1.462	78.930
0.000	4.285	0.109	2.528	1.131	1.885	57.862
0.000	0.566	0.180	3.174	1.264	1.852	35.078
0.027	5.230	0.141	1.455	1.294	0.874	44.236
0.000	5.328	0.109	3.905	4.420	1.979	41.657
0.126	13.793	0.102	2.015	1.239	1.818	71.058
0.000	5.926	0.164	3.854	3.391	1.767	47.420
0.015	9.824	0.148	2.475	1.138	1.997	57.530
0.000	2.242	0.195	1.825	1.134	1.853	39.888
0.000	4.684	0.102	2.886	1.386	1.998	54.945
0.000	8.648	0.180	1.921	1.373	1.610	55.097
0.107	13.531	0.180	2.398	1.300	1.789	69.434
0.008	2.672	0.141	1.922	1.243	1.773	37.873
0.000	4.094	0.109	4.199	1.017	1.632	46.918
0.084	0.184	0.172	3.506	1.153	1.927	29.012
0.001	13.820	0.180	3.006	1.097	1.491	88.680
0.055	14.852	0.211	2.142	1.512	1.866	71.334
0.000	5.551	0.164	2.724	2.212	2.000	48.818
0.048	14.410	0.180	2.867	1.339	1.999	68.587
0.000	9.285	0.164	5.047	1.754	1.474	49.680
0.000	15.438	0.156	2.887	1.333	1.940	70.790
0.180	7.180	0.164	1.944	1.564	1.851	51.342
0.000	9.859	0.164	3.713	2.631	1.270	64.713
0.000	14.891	0.148	4.167	3.228	1.679	70.250
0.051	11.395	0.172	3.187	1.223	1.909	65.241
0.008	2.684	0.125	2.434	1.425	2.000	38.828
0.119	2.996	0.133	3.039	2.443	1.620	40.810
0.002	14.883	0.203	2.570	2.263	1.481	79.685
0.012	11.613	0.188	2.039	1.067	0.460	63.186
0.000	2.059	0.141	4.448	1.083	1.421	33.983
0.008	6.414	0.117	2.395	1.719	1.831	54.318
0.009	11.953	0.133	2.272	1.080	1.066	62.352
0.012	7.254	0.156	1.734	1.238	1.151	51.374
0.016	14.742	0.156	4.031	1.146	1.890	77.069
0.097	15.500	0.234	3.515	2.147	1.970	86.419
0.000	15.188	0.172	2.241	1.004	1.878	72.598
0.000	4.461	0.125	3.681	1.239	1.906	57.264
0.002	4.910	0.125	2.919	1.162	1.332	39.255
0.000	2.270	0.180	4.217	1.260	1.874	39.380
0.000	1.570	0.156	4.963	1.187	1.970	30.073
0.000	13.309	0.156	4.476	1.058	1.999	70.745
0.000	14.781	0.125	2.586	1.080	0.200	74.120
0.000	9.453	0.148	1.265	1.264	1.894	54.444
0.020	2.301	0.203	2.175	1.330	1.990	35.162
0.000	10.285	0.148	2.327	1.067	1.720	66.123
0.000	4.988	0.172	3.591	3.564	1.885	66.150
0.000	13.121	0.195	3.083	1.296	1.682	68.013
0.000	4.754	0.180	2.589	1.949	1.888	48.995
0.014	13.422	0.094	3.653	1.002	0.697	77.342
0.112	15.973	0.133	3.434	1.116	1.169	83.557
0.000	9.930	0.133	3.564	1.086	0.242	55.643
0.007	7.332	0.188	2.911	1.043	0.870	58.949
0.000	11.266	0.125	2.689	1.325	1.480	70.190
0.000	11.668	0.180	2.314	1.154	1.910	71.557
0.001	14.258	0.164	3.449	1.486	1.997	78.933
0.822	10.273	0.148	4.598	1.931	1.506	64.043
0.000	8.082	0.172	2.261	1.166	0.639	48.717
0.000	4.602	0.195	2.898	1.432	1.527	44.003
0.013	12.945	0.141	3.833	1.488	1.437	69.770
0.000	7.688	0.141	2.186	1.252	1.093	58.107
0.000	2.695	0.109	3.228	1.105	1.527	34.940
0.158	5.109	0.117	2.395	1.328	1.992	47.835
0.001	0.129	0.188	1.701	1.148	1.508	31.112
0.000	8.277	0.164	2.947	1.204	1.731	65.209
