1.755	15.398	4.815	1.792	1.782	2.142	120.255
2.183	14.457	4.454	1.895	2.190	1.895	118.949
2.119	10.996	3.463	2.000	2.101	2.000	105.105
1.710	11.859	3.737	1.594	1.726	2.303	107.944
2.631	14.527	4.561	1.207	2.606	1.207	111.166
2.347	4.613	1.548	1.984	2.358	2.868	88.685
0.859	7.852	2.465	1.998	0.883	1.998	92.032
0.928	2.945	1.079	1.706	0.938	1.706	70.711
1.995	2.031	0.789	1.729	1.997	1.729	67.313
2.125	4.734	1.608	1.791	2.150	2.193	81.691
1.213	1.180	0.620	1.964	1.209	2.290	69.130
3.936	8.094	2.655	1.317	3.912	1.317	90.817
2.902	10.145	3.246	1.996	2.904	2.694	105.137
2.547	9.988	3.207	1.331	2.581	1.894	99.284
1.285	5.922	1.948	1.546	1.264	1.856	82.597
1.706	4.980	1.666	1.244	1.691	1.634	80.413
1.355	12.699	3.974	1.991	1.338	2.328	110.098
3.096	15.926	4.934	1.983	3.103	1.983	122.929
1.658	9.051	2.942	2.000	1.685	2.398	100.516
1.776	9.719	3.119	1.948	1.804	2.551	104.061
1.712	14.820	4.641	0.827	1.719	0.827	108.780
1.057	2.484	0.980	1.938	1.035	1.938	65.449
1.518	0.105	0.172	1.955	1.538	1.955	62.049
3.573	2.473	1.015	1.084	3.620	1.495	69.643
3.782	6.180	2.057	1.953	3.762	1.953	87.372
2.730	10.039	3.184	1.841	2.751	2.953	105.731
2.051	12.645	3.973	1.981	2.075	1.981	110.091
1.315	13.617	4.327	1.469	1.303	1.820	113.365
2.450	7.086	2.337	1.356	2.461	1.356	85.174
3.052	11.438	3.666	1.965	3.043	1.965	109.873
2.533	11.348	3.561	1.919	2.512	2.252	109.013
2.598	5.660	1.870	0.245	2.554	0.245	69.327
2.837	5.383	1.779	1.437	2.864	1.437	77.736
1.229	11.199	3.579	1.995	1.219	2.298	106.385
1.814	3.824	1.319	0.589	1.817	0.890	67.661
1.835	14.594	4.589	1.850	1.855	1.850	116.448
1.768	8.617	2.773	1.769	1.780	1.769	88.928
1.893	1.691	0.695	1.991	1.863	1.991	62.097
