1.604	1.164	11.066	0.211	2.267	9.196
0.745	1.174	7.098	0.195	1.852	8.779
1.065	1.277	1.160	0.203	3.649	40.273
1.614	1.489	10.480	0.086	2.783	14.847
1.835	1.200	0.328	0.172	3.340	37.330
1.594	1.700	8.605	0.125	3.053	22.726
1.972	1.109	10.168	0.062	2.970	17.755
1.249	1.584	7.648	0.164	2.078	11.134
1.325	3.573	7.484	0.133	4.352	45.844
0.322	1.044	10.273	0.141	2.598	9.077
1.830	2.162	3.605	0.188	1.613	14.845
1.989	1.042	2.055	0.133	3.992	46.235
1.903	1.963	10.770	0.164	3.332	22.821
1.879	1.203	15.441	0.141	2.588	5.960
1.992	1.728	4.969	0.203	3.957	41.397
1.703	1.011	14.312	0.141	3.276	14.022
1.066	1.139	9.461	0.172	1.771	5.084
0.735	1.307	9.168	0.195	2.897	16.242
1.551	1.289	8.809	0.188	3.929	33.648
1.475	2.607	9.898	0.141	3.277	21.917
1.400	1.256	10.523	0.109	4.866	49.851
2.000	1.171	5.191	0.156	1.572	12.495
1.993	1.322	11.777	0.156	2.735	11.776
1.966	1.663	12.562	0.148	2.760	12.076
0.448	1.045	3.906	0.148	2.384	17.216
1.825	1.004	6.453	0.203	1.974	12.614
2.000	1.188	13.113	0.156	2.212	7.006
1.762	1.889	12.270	0.188	2.283	8.598
1.931	1.432	13.836	0.180	3.512	20.854
1.973	1.861	0.969	0.125	3.817	46.408
0.582	1.143	15.293	0.180	2.671	2.962
1.773	1.332	15.789	0.250	2.523	3.944
1.763	1.491	8.480	0.148	2.162	11.322
1.683	1.029	4.891	0.141	3.931	40.004
1.917	1.142	1.895	0.109	3.046	30.011
1.944	1.566	1.688	0.188	4.273	50.423
1.652	1.029	13.324	0.148	2.445	7.878
0.925	1.714	14.242	0.188	2.897	8.413
0.915	1.610	15.637	0.172	3.540	16.602
1.781	1.032	13.508	0.234	2.371	7.205
1.168	1.142	2.934	0.164	2.478	21.423
1.888	1.416	8.609	0.164	3.284	27.135
1.545	1.225	8.645	0.195	2.448	11.767
1.962	1.096	14.594	0.164	2.660	7.149
1.193	1.228	8.836	0.164	3.758	30.002
1.712	1.199	2.715	0.141	2.295	21.125
1.188	1.558	10.219	0.125	2.330	10.144
0.920	1.323	0.910	0.141	3.141	32.121
1.896	1.103	6.379	0.086	2.570	19.463
1.808	1.030	12.680	0.133	2.550	9.637
1.970	1.908	14.172	0.180	1.984	4.177
1.953	1.925	0.570	0.156	2.818	32.903
1.350	1.313	1.613	0.180	3.743	39.502
1.824	1.061	5.809	0.117	2.581	21.131
1.335	1.216	10.605	0.148	1.912	5.077
1.974	1.390	15.375	0.148	2.475	5.058
1.187	1.197	2.566	0.133	2.239	19.870
1.775	1.003	15.191	0.188	2.114	1.741
1.147	1.012	14.766	0.203	3.234	12.515
0.689	1.034	1.238	0.180	3.960	43.661
1.815	1.282	1.680	0.156	4.046	47.655
1.794	1.310	1.129	0.133	3.338	35.053
1.639	1.847	0.191	0.141	3.935	47.828
1.559	1.427	14.488	0.188	4.262	32.489
1.581	2.274	12.012	0.141	2.405	9.006
0.993	1.130	0.148	0.203	1.389	17.380
0.387	1.314	8.855	0.164	2.400	10.626
1.935	1.181	1.102	0.133	3.486	37.798
1.887	1.005	8.160	0.156	3.390	24.554
1.985	1.490	4.160	0.211	3.244	31.424
1.995	1.832	15.414	0.148	2.201	4.610
1.931	1.178	11.191	0.188	5.876	74.041
1.823	1.828	10.793	0.109	3.828	28.967
1.810	1.024	5.309	0.133	2.025	15.984
